player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Anthony Martial,Manchester Utd,FW,27,13,448,1,0,0,1.2,1.2,6,12,0.20,0.00,0.20,0.25,0.25,0,0,12,6,36
Antoine Semenyo,Bournemouth,FW,23,33,"2,105",8,0,2,4.6,4.6,89,64,0.34,0.09,0.43,0.20,0.20,0,2,64,89,188
Antonee Robinson,Fulham,DF,25,37,"3,265",0,0,6,0.7,0.7,99,129,0.00,0.17,0.17,0.02,0.02,0,6,129,99,194
Antony,Manchester Utd,FW,23,29,"1,324",1,0,1,3.4,3.4,53,64,0.07,0.07,0.14,0.23,0.23,0,1,64,53,149
Arijanet Muric,Burnley,GK,24,10,900,0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Armando Broja,Chelsea,FW,21,13,454,1,0,0,2.4,2.4,11,6,0.20,0.00,0.20,0.47,0.47,0,0,6,11,37
Arnaut Danjuma,Everton,"MF,FW",26,14,595,1,0,0,2.6,2.6,24,9,0.15,0.00,0.15,0.40,0.40,0,0,9,24,44
Ashley Young,Everton,"DF,MF",38,31,"2,280",0,0,0,0.6,0.6,40,82,0.00,0.00,0.00,0.02,0.02,0,0,82,40,61
Auston Trusty,Sheffield Utd,DF,24,32,"2,572",0,0,0,0.4,0.4,10,40,0.00,0.00,0.00,0.01,0.01,0,0,40,10,15
Axel Disasi,Chelsea,DF,25,31,"2,579",2,0,0,2.4,2.4,30,112,0.07,0.00,0.07,0.08,0.08,0,0,112,30,21
Bart Verbruggen,Brighton,GK,20,21,"1,890",0,0,0,0.0,0.0,0,3,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0
Ben Brereton,Sheffield Utd,"FW,MF",24,14,"1,105",6,1,1,6.1,5.3,23,37,0.49,0.08,0.57,0.49,0.43,1,1,37,23,78
Ben Chilwell,Chelsea,DF,26,13,756,0,0,1,1.2,1.2,22,25,0.00,0.12,0.12,0.14,0.14,0,1,25,22,59
Ben Davies,Tottenham,DF,30,17,"1,090",1,0,0,2.3,2.3,13,71,0.08,0.00,0.08,0.19,0.19,0,0,71,13,20
